title;price;condition;location;link
Zotac GTX 750 TI;30,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23398862?ld_src=2
MSI GeForce RTX 3060 Ventus 2X 12G OC, игровая видеокарта - NVIDIA RTX 3060, 12 ГБ памяти GDDR6, 192-бит, 15;180,000֏;Новое;Кентрон;https://www.list.am/ru/item/24204525?ld_src=2
Մայնիգ ֆերմա վիդեոքարտ (Mayning ferma майнинг ферма) R 580 видеокарта (asus, redeon) ֆիրմայի mining ferma;$2,500;Использованное;Севан;https://www.list.am/ru/item/21295296?ld_src=2
Palit GT630 2048M sDDR3 128bit;8,000֏;Использованное;Ачапняк;https://www.list.am/ru/item/23641554?ld_src=2
NEW * MSI RTX 3080 VENTUS 3X OC (10GB) 320bit 8704 Cuda Cores / GDDR6X;285,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/21841926?ld_src=2
NEW MSI Aero Quad M.2 Xpander PCIe Gen4 (4xM.2 SSD-ի տեղով);35,000֏;Новое;Шенгавит;https://www.list.am/ru/item/22422901?ld_src=2
Gigabyte RTX 3090 EAGLE OC Video card 24GB Memory, Cuda Cores 10496;449,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/21418020?ld_src=2
Տեսաքարտ / Վիդեո քարտ - Gigabyte GeForce RTX 5070 Ti 16GB GAMING OC Edition GDDR7;559,900֏;Новое;Кентрон;https://www.list.am/ru/item/24068029?ld_src=2
Zotac Gaming RTX5070 Twin Edge 12GB GDDR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;354,900֏;Новое;Кентрон;https://www.list.am/ru/item/23052294?ld_src=2
Asus Dual RTX5060 8GB OC Edition GDDR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;196,000֏;Новое;Кентрон;https://www.list.am/ru/item/22657037?ld_src=2
Gigabyte RTX5060 WindWorce 8GB / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;215,000֏;Новое;Кентрон;https://www.list.am/ru/item/20426676?ld_src=2
Asus GeForce Dual RTX 3050 6GB / տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;129,900֏;Новое;Кентрон;https://www.list.am/ru/item/21655751?ld_src=2
Asus Dual RTX5060 Ti 8GB OC Edition GDDR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;218,900֏;Новое;Кентрон;https://www.list.am/ru/item/22657052?ld_src=2
Gigabyte geforce rtx 5080 windforce oc sff 16gb gddr7 / 1 տարի երաշխիք;714,900֏;Новое;Кентрон;https://www.list.am/ru/item/23425967?ld_src=2
Asus TUF Gaming RTX5080 16GB OC Edition GDDR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;669,000֏;Новое;Кентрон;https://www.list.am/ru/item/22657432?ld_src=2
Asus Prime RTX5070 12GB OC Edition GDDR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;389,000֏;Новое;Кентрон;https://www.list.am/ru/item/23052235?ld_src=2
ASUS Dual RTX 5070 12GB OC Edition DGGR7 / Տեսաքարտ, Видеокарта, Graphics card / 1 տարի երաշխիք;429,000֏;Новое;Кентрон;https://www.list.am/ru/item/22667986?ld_src=2
MSI RTX 5070 Ti 16GB Trio OC GDDR7 / Վիդեկարտա, Videocard, Видеокарта / 1տարի երաշխիք;589,000֏;Новое;Кентрон;https://www.list.am/ru/item/24201423?ld_src=2
MSI RTX 5070 12GB Trio OC GDDR7 / Վիդեոկարտա, VideoCard, Видеокарта / 1տարի երաշխիք;409,000֏;Новое;Кентрон;https://www.list.am/ru/item/24201479?ld_src=2
VGA PNY RTX 5080 OC Edition GDDR7 / VGA, Видеокарта, VideoCard;699,000֏;Новое;Кентрон;https://www.list.am/ru/item/24153644?ld_src=2
